GENUS;SPECIES;ORDER;FAMILY;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Euthacanthus;macnicoli;Incerti_ordinis;Euthacanthidae;N;Devonian;Lochkovian;419,2;Lochkovian;410,8;415;N;Turin Hill;Dundee Flagstone;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;N;NA
Euthacanthus;macnicoli;Incerti_ordinis;Euthacanthidae;Y;Devonian;Lochkovian;419,2;Lochkovian;410,8;415;N;Forfarshire;Lower Old Red Sandstone;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;N;NA
Euthacanthus;sp.;Incerti_ordinis;Euthacanthidae;N;Devonian;Lochkovian;419,2;Lochkovian;410,8;415;N;Turin Hill;Dundee Flagstone;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;N;NA
Antacanthus;insignis;Incerti_ordinis;Gyracanthidae;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Liege;Carboniferous Limestone;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;Y;NA
Gyracanthides;hawkinsi;Incerti_ordinis;Gyracanthidae;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Middle Paddock site;Ducabrook;Australia  and Oceania;X;X;X;X;S;1;1;0;0;0;0;0;N;N;NA
Gyracanthides;murrayi;Incerti_ordinis;Gyracanthidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Broken River;Snowy Plains;Australia  and Oceania;X;X;X;X;S;1;0;0;0;0;0;0;N;N;NA
Gyracanthides;sp.;Incerti_ordinis;Gyracanthidae;N;Devonian;Givetian;387,7;Givetian;382,7;385,2;N;Klipbokkop Mountain;;Africa;X;X;X;X;S;1;1;0;0;0;0;0;N;Y;NA
Gyracanthides;warreni;Incerti_ordinis;Gyracanthidae;N;Devonian;Givetian;387,7;Givetian;382,7;385,2;N;Boomerang Range;Aztec Siltstone;Antarctica;X;X;X;X;S;1;0;0;0;0;0;0;N;Y;NA
Gyracanthides;warreni;Incerti_ordinis;Gyracanthidae;Y;Devonian;Givetian;387,7;Givetian;382,7;385,2;N;Mt. Gudmunson & Fault Bluff;Aztec Siltstone;Antarctica;X;X;X;X;S;1;0;0;0;0;0;0;N;Y;NA
Gyracanthus;alleni;Incerti_ordinis;Gyracanthidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Medina Co.;Waverly;North America;X;X;X;X;N;1;1;1;0;0;0;0;N;Y;NA
Gyracanthus;compressus;Incerti_ordinis;Gyracanthidae;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Bagdad;Cuyahoga Shale;North America;X;X;X;X;N;1;1;1;0;0;0;0;N;Y;NA
Gyracanthus;convexus;Incerti_ordinis;Gyracanthidae;N;Devonian;Pragian;410,8;Pragian;407,6;409,2;?;Stone quarry Heider;Wahnbachschichten;Europe;X;X;X;X;N;0;1;1;0;0;0;0;N;Y;NA
Gyracanthus;convexus;Incerti_ordinis;Gyracanthidae;Y;Devonian;Pragian;410,8;Pragian;407,6;409,2;?;Belkenscheid;Wiesel;Europe;X;X;X;X;N;0;1;1;0;0;0;0;N;Y;NA
