COLLECTION,Longitude,Latitude,MID.POINT,GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,LAZARUS,FORMATION,CONTINENT.1,CONTINENT.2,CONTINENT.3,CONTINENT.4,CONTINENT.5,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY,plng,plat
Keokuk,-91.4,40.4,345.4,Antliodus,minutus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Tournaisian,358.9,Visean,330.9,N,Keokuk Limestone,Europe,North America,X,X,X,N,0,0,0,1,1,1,1,N,N,Y,-45.06198986523142,-14.714718939723927
Keokuk,-91.4,40.4,345.4,Physonemus,sp.,Incerti ordinis,Incertae familiae,?,NA,NA,,Y,Carboniferous,Tournaisian,358.9,Visean,330.9,N,Keokuk Limestone,North America,X,X,X,X,N,1,1,1,1,1,1,1,N,Y,N,-45.06198986523142,-14.714718939723927
Keokuk,-91.4,40.4,351.55,Ctenacanthus,sp.,Ctenacanthiformes,Ctenacanthidae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,Y,D - C,Famennian,372.2,Visean,330.9,Y,Keokuk Limestone,North America,Australia and Oceania,X,X,X,N/S,0,1,1,1,1,1,1,N,N,N,-53.04778087072289,-20.001735504966486
Keokuk,-91.4,40.4,352.8,Leiodus,calcaratus,Orodontiformes,Leiodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,N,,North America,X,X,X,X,N,0,0,1,1,0,0,0,N,N,Y,-54.30934592567533,-20.551940226577784
Keswick,-92.2,41.5,345.4,Orodus,variabilis,Orodontiformes,Orodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,Y,Carboniferous,Tournaisian,358.9,Visean,330.9,N,Keokuk Limestone,North America,X,X,X,X,N,1,1,1,1,1,1,1,N,N,N,-44.831568152448995,-13.479766601794498
Kinney Brick Company Quarry,-106.3,35,302.95,Acanthodes,kinneyi,Acanthodiiformes,Acanthodidae,Stem,NA,NA,N,N,Carboniferous,Kasimovian,307,Gzhelian,298.9,N,Wild Cow,North America,X,X,X,,N,0,1,0,0,0,0,0,N,N,NA,-35.398266832433556,3.1933981433002576
Kinney Brick Company Quarry,-106.3,35,307.05,Symmorium,reniforme,Symmoriiformes,Symmoriidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,Y,Carboniferous,Moscovian,315.2,Gzhelian,298.9,N,Wild Cow,Europe,North America,X,X,X,N,0,1,0,0,0,0,0,N,N,N,-35.657066883851016,2.6844267558178987
Kinney Brick Quarry,-106.2,35.1,305.35,Dracopristis,hoffmanorum,Ctenacanthiformes,Incertae familiae,Elasmobranchii,Cladodontomorphi,Elasmobranchii,,N,Carboniferous,Kasimovian,307,Kasimovian,303.7,N,Atrasado,North America,X,X,X,X,N,0,1,1,1,0,0,0,N,N,N,-35.42293843161206,2.9224483337253226
Kinshozan,136.6,36.4,266.025,Symmorium,sp.,Symmoriiformes,Symmoriidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,N,Permian,Roadian,272.95,Capitanian,259.1,Y,Akasaka Limestone,Asia,X,X,X,X,N,0,1,1,1,1,0,0,N,N,Y,NA,NA
Kinshozan,136.6,36.4,266.025,Petrodus,sp.,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Permian,Roadian,272.95,Capitanian,259.1,Y,Akasaka Limestone,Asia,X,X,X,X,N,0,1,1,1,1,0,0,Y,N,N,NA,NA
Kiri,71.2,32.3,253.021,Thaumatacanthus,blandfordi,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Permian,Changhsingian,254.14,Changhsingian,252,N,Chhidru,Asia,X,X,X,X,N,0,0,1,1,1,0,0,N,Y,N,58.6072410114108,-38.70530261782565
Kirkpatrick St.,-80,40.4,287.551,Orthacanthus,sp.,Xenacanthiformes,Diplodoselachidae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,C - P,Bashkirian,323.2,Changhsingian,252,N,Pittsburgh Limestone,Europe,North America,X,X,X,N,1,0,0,0,0,0,0,N,N,N,-12.81366045527653,1.0586946894439775
Kirkpatrick St.,-80,40.4,298.075,Xenacanthus,sp.,Xenacanthiformes,Xenacanthidae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,C - P,Bashkirian,323.2,Kungurian,272.95,Y,Pittsburgh Limestone,Europe,North America,X,X,X,N,1,1,0,0,0,0,0,N,N,N,-14.342958282763,-1.8758023107714572
Klipbokkop Mountain,20.7,-33.9,385.2,Gyracanthides,sp.,Incerti_ordinis,Gyracanthidae,Stem,NA,NA,N,N,Devonian,Givetian,387.7,Givetian,382.7,N,,Africa,X,X,X,X,S,1,1,0,0,0,0,0,N,Y,NA,-169.84904317666422,-62.86812900634543
Knob Lick,-84.8,37.6,352.8,Stethacanthus,humilis,Symmoriiformes,Symmoriidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,N,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,N,Waverly,North America,X,X,X,X,N,1,1,1,0,0,0,0,N,Y,N,-51.969383459211556,-25.983859313787864
Knob Lick,-84.8,37.6,359.45,Stethacanthus,exilis,Symmoriiformes,Symmoriidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,N,D - C,Famennian,372.2,Tournaisian,346.7,N,Huron Shale,North America,X,X,X,X,N,1,1,1,1,0,0,0,N,Y,N,-59.12291492513806,-28.768267061297987
Knob Lick,-84.8,37.6,359.45,Stethacanthus,exilis,Symmoriiformes,Symmoriidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,Y,D - C,Famennian,372.2,Tournaisian,346.7,N,Waverly,North America,X,X,X,X,N,1,1,1,1,0,0,0,N,Y,N,-59.12291492513806,-28.768267061297987
Knob Lick,-84.8,37.6,365.55,Stethacanthus,kentuckianus,Symmoriiformes,Symmoriidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,N,Devonian,Famennian,372.2,Famennian,358.9,N,Huron Shale,North America,X,X,X,X,N,0,0,1,1,0,0,0,N,Y,N,-62.90551914871467,-29.992836751510414
Knox Country,-90.2,40.9,311.05,Petrodus,acutus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Bashkirian,323.2,Gzhelian,298.9,Y,,Europe,North America,X,X,X,N,0,1,0,0,0,0,0,Y,N,N,-22.117597950991545,-0.2147683749542156
Koblenz,7.6,50.4,409.2,Gyracanthus,convexus,Incerti_ordinis,Gyracanthidae,Stem,NA,NA,N,Y,Devonian,Pragian,410.8,Pragian,407.6,?,Nellenköpfchenschichten,Europe,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,NA,-31.182390679561617,-21.190915401139378
Koknese,25.4,56.6,370.8,Haplacanthus,perseensis,Incerti_ordinis,Incertae_familiae,Stem,NA,NA,N,N,Devonian,Frasnian,382.7,Famennian,358.9,N,,Europe,X,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,-14.557005191200508,-9.625934371447936
Kolomna District,38.8,55.1,311.1,Pirodus,conicus,Eugeneodontiformes,Caseodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Moscovian ,315.2,Moscovian ,307,N,Shchurovo-Korobcheyevo,Europe,X,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y,33.97598668897351,22.132669617861545
Kosor,14.3,50,405.05,Machaeracanthus,sp.,Incerti_ordinis,Machaeracanthidae,Stem,NA,NA,N,Y,S - D,Gorstian,427.4,Givetian,382.7,?,Ludlow,Europe,North America,Asia,Africa,X,N/S,0,1,1,1,1,1,1,N,N,NA,6.370079920483784,-15.466052317817507
Kounova,13.7,50.2,275.401,Tubulacanthus,sulcatus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Permian,Asselian,298.9,Changhsingian,252,N,Schwartenkohle,Europe,X,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,N,Y,N,30.898731138306864,17.25738541694794
