GENUS;SPECIES;ORDER;FAMILY;SUBCLASS;GROUP_GINTER;GROUP_GINTER2;TOOTH_PLATE;SCM1;SCM2;SCM_average;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Platyxystrodus;alatus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Visé;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;angustus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;bellulus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Kasimovian;307;Kasimovian;303,7;305,35;N;Danville;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;egertoni;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Bristol;;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;imitatus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Illinois;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Platyxystrodus;inconditus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Illinois and Iowa;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Platyxystrodus;occidentalis;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Bashkirian;323,2;Gzhelian;298,9;311,05;N;Nebraska;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;parkeri;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Derbyshire;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;pulchellus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Wensleydale;;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;simplex;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Illinois;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Platyxystrodus;striatus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;verus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Illinois;;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;Elasmobranchii;N;51,375;79,175;25,11;N;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Berea;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;Elasmobranchii;N;51,375;79,175;25,11;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Lindale;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
