GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,MID POINT,LAZARUS,COLLECTION,FORMATION,Latitude,Longitude,CONTINENT,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY
Platyxystrodus,alatus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Visé,,50.7,5.7,Europe,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Platyxystrodus,angustus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Armagh,Carboniferous Limestone,54.3,-6.7,Europe,N,1,1,1,0,0,0,0,N,N,Y
Platyxystrodus,bellulus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Kasimovian,307,Kasimovian,303.7,305.35,N,Danville,,40.1,-87.6,North America,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Platyxystrodus,egertoni,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Tournaisian,358.9,Serpukhovian,323.2,341.05,N,Bristol,,51.5,-2.5,Europe,N,1,1,1,0,0,0,0,N,N,Y
Platyxystrodus,imitatus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Illinois,St. Louis limestone,NA,NA,North America,N,0,1,1,0,0,0,0,N,N,Y
Platyxystrodus,inconditus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Illinois and Iowa,Keokuk Limestone,NA,NA,North America,N,0,0,0,1,1,1,1,N,N,Y
Platyxystrodus,occidentalis,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Bashkirian,323.2,Gzhelian,298.9,311.05,N,Nebraska,,NA,NA,North America,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Platyxystrodus,parkeri,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Derbyshire,,53.1,-1.6,Europe,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Platyxystrodus,pulchellus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Wensleydale,,54.3,-2.2,Europe,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Platyxystrodus,simplex,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,352.8,N,Illinois,Burlington limestone,NA,NA,North America,N,0,0,1,1,0,0,0,N,N,Y
Platyxystrodus,striatus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Armagh,Carboniferous Limestone,54.3,-6.7,Europe,N,1,1,1,0,0,0,0,N,N,Y
Platyxystrodus,verus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Serpukhovian,323.2,334.95,N,Illinois,,NA,NA,North America,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Cladoselache,fyleri,Symmoriiformes,Cladoselachidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,N,Devonian,Famennian,372.2,Famennian,358.9,365.55,N,Berea,Cleveland Shale,41.5,-81.9,North America,N,0,0,0,0,1,1,0,N,N,N
Cladoselache,fyleri,Symmoriiformes,Cladoselachidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,Y,Devonian,Famennian,372.2,Famennian,358.9,365.55,N,Lindale,Cleveland Shale,39,-84.2,North America,N,0,0,0,0,1,1,0,N,N,N
Cladoselache,fyleri,Symmoriiformes,Cladoselachidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,Y,Devonian,Famennian,372.2,Famennian,358.9,365.55,N,Cleveland,Cleveland Shale,39.4,-83.6,North America,N,0,0,0,0,1,1,0,N,N,N
Cladoselache,fyleri,Symmoriiformes,Cladoselachidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,Y,Devonian,Famennian,372.2,Famennian,358.9,365.55,N,Big Creek,Cleveland Shale,41.4,-81.8,North America,N,0,0,0,0,1,1,0,N,N,N
Cladoselache,fyleri,Symmoriiformes,Cladoselachidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,Y,Devonian,Famennian,372.2,Famennian,358.9,365.55,N,Brooklyn,Cleveland Shale,41.4,-81.7,North America,N,0,0,0,0,1,1,0,N,N,N
